x,y
5.351603921591560287e+00,-1.450432967047077248e+00
5.370971078605809801e+00,-1.439575028617479990e+00
5.404517946389730376e+00,-1.446338049030475137e+00
5.136937052197838582e+00,-1.064347320663142860e+00
5.543153903605231747e+00,-1.464527985906292740e+00
5.605729404814363548e+00,-1.458853854714675879e+00
5.677732666418058294e+00,-1.458281593056734993e+00
5.702736779125664235e+00,-1.446102513240120402e+00
5.765521285501161941e+00,-1.396646133921277677e+00
5.809349767967272982e+00,-1.363970552700918493e+00
5.844970687200587989e+00,-1.324171218572624209e+00
5.868476473667163518e+00,-1.308001388818045729e+00
5.645679372251307448e+00,-1.128636534278956605e+00
5.910518876101218844e+00,-1.239483637092314350e+00
5.950151220804582586e+00,-1.231732007342030144e+00
5.991944374792614880e+00,-1.192299593610793629e+00
6.028133326336631903e+00,-1.148678427201196728e+00
6.111135675400876544e+00,-1.062746971876426194e+00
6.101317959169994865e+00,-1.028265505221733767e+00
6.214317999151319327e+00,-1.008559632723170063e+00
6.250386719441417327e+00,-9.573432904789540565e-01
6.280281887697299226e+00,-9.347287685722279749e-01
6.316630249098429850e+00,-9.130925665375677625e-01
6.344979347327203811e+00,-8.883388625766407420e-01
6.382060409188848205e+00,-8.321973012113256241e-01
6.422955408805971267e+00,-8.080237873539695137e-01
6.459604800190390961e+00,-7.818144240221220898e-01
6.504070067751195339e+00,-7.217766584010288922e-01
6.543420715211028416e+00,-6.930808252682592041e-01
6.588300527023996267e+00,-6.637711312070055936e-01
6.629749841649704933e+00,-6.326855621242670757e-01
6.675203953109701160e+00,-5.642125180224750736e-01
6.797275233148985407e+00,-4.948105223996298596e-01
6.830886922392129357e+00,-4.178500382194149654e-01
6.872164308232292740e+00,-3.778236201029248065e-01
6.983484981448881967e+00,-2.497517288227324994e-01
7.050489054401316125e+00,-2.013612234233816412e-01
7.145318963271811263e+00,-1.472726004158942947e-01
7.285342300100910329e+00,1.212354585527958273e-02
7.364559641381591248e+00,7.516844209943923660e-02
6.319989995431883223e+00,-5.673912351914844887e-02
7.663785730213075631e+00,4.125878041025989318e-01
7.834982680726088944e+00,6.454376781285744435e-01
7.838183093811505131e+00,7.097238741874969392e-01
7.820765596018622645e+00,9.634264596244137557e-01
7.247092753933090492e+00,1.904700858614776227e+00
6.533749163776390922e+00,1.993263959111944761e+00
6.456949122499976212e+00,1.982154877819793271e+00
6.374004882845218489e+00,1.959468168794787690e+00
6.148179745234882532e+00,1.992013540210071820e+00
6.088296590830039712e+00,1.990478443429261279e+00
4.533651103957367035e+00,2.100158582476705060e+00
4.444153482539690003e+00,2.111198431718518176e+00
